model,num_shots,instruction,gold_program,pred_program,strict_valid
outputs/qwen06b_sft_iid_a100,0,"First, go backward slightly. Then, go forward just a little.",[backward:10][forward:10],[backward:10],True
outputs/qwen06b_sft_iid_a100,0,"First, let out a bark. Then, bark. After that, go backward a bit. Next, back up for a long while.",[bark:0][bark:0][backward:30][backward:100],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"First, make a bark sound. Then, advance some distance. After that, go forward slightly.",[bark:0][forward:60][forward:10],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"First, turn left a lot. Then, veer right about a right angle. After that, veer left all the way around.",[left:90][right:90][left:180],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"veer left all the way around, after that okay rotate left about a quarter turn, next rotate right a tiny bit.",[left:180][left:45][right:15],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"First, turn right about a right angle. Then, veer left about-face.",[right:90][left:180],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"First, veer right about a right angle. Then, let out a bark. After that, rotate left all the way around.",[right:90][bark:0][left:180],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"First, veer left all the way around. Then, turn left about a quarter turn. After that, turn right all the way around.",[left:180][left:45][right:180],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"okay veer right a tiny bit, and then veer left all the way around",[right:15][left:180],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"move ahead a little, next carefully go forward for a while, and then reverse a lot, then carefully bark",[forward:30][forward:60][backward:100][bark:0],[forward:10],True
outputs/qwen06b_sft_iid_a100,0,"carefully veer right all the way around, next kind of make a bark sound.",[right:180][bark:0],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"veer left all the way around, and then rotate right about-face.",[left:180][right:180],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"First, move back some distance. Then, move forward a little.",[backward:60][forward:30],[backward:10],True
outputs/qwen06b_sft_iid_a100,0,"carefully let out a bark, next kind of veer left about a right angle, next rotate right a tiny bit",[bark:0][left:90][right:15],[bark:0][left:45],True
outputs/qwen06b_sft_iid_a100,0,"okay bark, after that kind of move forward a bit, after that okay advance a tiny bit.",[bark:0][forward:30][forward:10],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"First, make a bark sound. Then, move back a lot.",[bark:0][backward:100],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"First, rotate left about a quarter turn. Then, rotate left a bit. After that, go forward for a while.",[left:45][left:45][forward:60],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"turn left about a quarter turn, after that um move ahead for a while, then um turn right about a quarter turn, next back up a lot.",[left:45][forward:60][right:45][backward:100],[left:45],True
outputs/qwen06b_sft_iid_a100,0,turn right about a right angle.,[right:90],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"First, let out a bark.",[bark:0],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"back up some distance, and then um turn right a tiny bit, then make a bark sound",[backward:60][right:15][bark:0],[backward:10],True
outputs/qwen06b_sft_iid_a100,0,"carefully veer right all the way around, next kind of make a bark sound.",[right:180][bark:0],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"okay veer left all the way around, after that carefully make a bark sound",[left:180][bark:0],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"First, rotate left a tiny bit. Then, veer left a bit. After that, back up for a long while. Next, move forward some distance.",[left:15][left:45][backward:100][forward:60],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"veer right a tiny bit, next veer left all the way around, next move back a bit",[right:15][left:180][backward:30],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"First, veer left about a quarter turn. Then, turn left about a quarter turn. After that, rotate left about a quarter turn. Next, veer left all the way around.",[left:45][left:45][left:45][left:180],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"okay rotate left slightly, and then um move ahead a little, then please go forward slightly, and then please turn right about a quarter turn",[left:15][forward:30][forward:10][right:45],[left:45],True
outputs/qwen06b_sft_iid_a100,0,um bark,[bark:0],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"First, bark. Then, advance some distance. After that, move ahead slightly.",[bark:0][forward:60][forward:10],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,rotate left a lot,[left:90],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"First, move back slightly.",[backward:10],[backward:10],True
outputs/qwen06b_sft_iid_a100,0,"First, let out a bark. Then, let out a bark. After that, veer left about a quarter turn. Next, rotate left a bit.",[bark:0][bark:0][left:45][left:45],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"please rotate right about-face, then please move forward slightly, and then carefully let out a bark",[right:180][forward:10][bark:0],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"carefully let out a bark, next kind of veer left about a right angle, next rotate right a tiny bit",[bark:0][left:90][right:15],[bark:0][left:45],True
outputs/qwen06b_sft_iid_a100,0,"okay bark, after that kind of move forward a bit, after that okay advance a tiny bit.",[bark:0][forward:30][forward:10],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"First, make a bark sound. Then, move back a lot.",[bark:0][backward:100],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"First, rotate left about a quarter turn. Then, rotate left a bit. After that, go forward for a while.",[left:45][left:45][forward:60],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"turn left about a quarter turn, after that um move ahead for a while, then um turn right about a quarter turn, next back up a lot.",[left:45][forward:60][right:45][backward:100],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"back up some distance, and then um turn right a tiny bit, then make a bark sound",[backward:60][right:15][bark:0],[backward:10],True
outputs/qwen06b_sft_iid_a100,0,"carefully veer right all the way around, next kind of make a bark sound.",[right:180][bark:0],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"okay veer left all the way around, after that carefully make a bark sound",[left:180][bark:0],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"First, rotate left a tiny bit. Then, veer left a bit. After that, back up for a long while. Next, move forward some distance.",[left:15][left:45][backward:100][forward:60],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"veer right a tiny bit, next veer left all the way around, next move back a bit",[right:15][left:180][backward:30],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"First, veer left about a quarter turn. Then, turn left about a quarter turn. After that, rotate left about a quarter turn. Next, veer left all the way around.",[left:45][left:45][left:45][left:180],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"okay rotate left slightly, and then um move ahead a little, then please go forward slightly, and then please turn right about a quarter turn",[left:15][forward:30][forward:10][right:45],[left:45],True
outputs/qwen06b_sft_iid_a100,0,"First, bark. Then, advance some distance. After that, move ahead slightly.",[bark:0][forward:60][forward:10],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"First, let out a bark. Then, let out a bark. After that, veer left about a quarter turn. Next, rotate left a bit.",[bark:0][bark:0][left:45][left:45],[bark:0],True
outputs/qwen06b_sft_iid_a100,0,"please rotate right about-face, then please move forward slightly, and then carefully let out a bark",[right:180][forward:10][bark:0],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"carefully turn right about a right angle, next um back up some distance",[right:90][backward:60],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"move back for a while, and then carefully veer right all the way around, next carefully let out a bark, and then back up a lot.",[backward:60][right:180][bark:0][backward:100],[backward:10],True
outputs/qwen06b_sft_iid_a100,0,"kind of veer right a bit, and then rotate right slightly, then okay back up a little, then carefully turn right a bit",[right:45][right:15][backward:30][right:45],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"turn right a lot, then veer right a bit, after that please go backward for a while, then carefully turn right a tiny bit.",[right:90][right:45][backward:60][right:15],[right:45],True
outputs/qwen06b_sft_iid_a100,0,"kind of turn right all the way around, then reverse a bit, then rotate right slightly, after that please reverse a tiny bit",[right:180][backward:30][right:15][backward:10],[right:45],True
